니케 스텟 (SSR등급 한정),,,,,,,,,,,,,,,,,,,,,,,,,,호감도,"요구
포인트",화력형,,,방어형,,,지원형,,,,하모니 큐브,,,,,,,,,,,,분류,"공격력
증가량","방어력
증가량","HP
증가량"
528,4018820,178614,26793,22501,23072,25722,26137,22413,4911891,119076,32747,27501,28199,31438,31946,27394,4465355,148845,29770,25001,25635,28580,29041,24904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
529,4028270,179034,26856,22554,23126,25783,26199,22466,4923441,119356,32824,27566,28265,31512,32021,27459,4475855,149195,29840,25060,25696,28648,29110,24962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
530,4037720,179454,26919,22607,23180,25843,26260,22519,4934991,119636,32901,27630,28331,31586,32096,27523,4486355,149545,29910,25118,25756,28715,29178,25021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
531,4047170,179874,26982,22659,23235,25904,26322,22572,4946541,119916,32978,27695,28398,31660,32171,27587,4496855,149895,29980,25177,25816,28782,29246,25080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
532,4056620,180294,27045,22712,23289,25964,26383,22624,4958091,120196,33055,27760,28464,31734,32246,27652,4507355,150245,30050,25236,25876,28849,29315,25138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
533,4066070,180714,27108,22765,23343,26025,26445,22677,4969641,120476,33132,27824,28530,31808,32321,27716,4517855,150595,30120,25295,25937,28916,29383,25197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,4075520,181134,27171,22818,23397,26085,26506,22730,4981191,120756,33209,27889,28597,31882,32396,27781,4528355,150945,30190,25354,25997,28984,29451,25255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
535,4084970,181554,27234,22871,23452,26146,26567,22782,4992741,121036,33286,27954,28663,31956,32471,27845,4538855,151295,30260,25412,26057,29051,29519,25314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
536,4094420,181974,27297,22924,23506,26206,26629,22835,5004291,121316,33363,28018,28729,32030,32546,27910,4549355,151645,30330,25471,26118,29118,29588,25372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
537,4103870,182394,27360,22977,23560,26267,26690,22888,5015841,121596,33440,28083,28796,32104,32622,27974,4559855,151995,30400,25530,26178,29185,29656,25431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,4113320,182814,27423,23030,23614,26327,26752,22940,5027391,121876,33517,28148,28862,32178,32697,28038,4570355,152345,30470,25589,26238,29252,29724,25489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
539,4122770,183234,27486,23083,23669,26388,26813,22993,5038941,122156,33594,28212,28928,32252,32772,28103,4580855,152695,30540,25647,26298,29320,29793,25548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
540,4132220,183654,27549,23136,23723,26448,26875,23046,5050491,122436,33671,28277,28994,32326,32847,28167,4591355,153045,30610,25706,26359,29387,29861,25607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,4338831,192836,28927,24293,24909,27771,28219,24199,5303015,128558,35355,29691,30445,33942,34490,29576,4820923,160697,32141,26992,27677,30857,31354,26887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
542,4348281,193256,28990,24346,24964,27831,28280,24251,5314565,128838,35432,29756,30511,34016,34565,29640,4831423,161047,32211,27051,27737,30924,31423,26946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,4357731,193676,29053,24399,25018,27892,28342,24304,5326115,129118,35509,29821,30577,34090,34640,29705,4841923,161397,32281,27110,27798,30991,31491,27004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
544,4367181,194096,29116,24452,25072,27952,28403,24357,5337665,129398,35586,29885,30644,34164,34715,29769,4852423,161747,32351,27168,27858,31058,31559,27063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
545,4376631,194516,29179,24504,25126,28013,28465,24409,5349215,129678,35663,29950,30710,34238,34790,29834,4862923,162097,32421,27227,27918,31125,31627,27121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
546,4386081,194936,29242,24557,25181,28073,28526,24462,5360765,129958,35740,30015,30776,34312,34865,29898,4873423,162447,32491,27286,27978,31193,31696,27180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
547,4395531,195356,29305,24610,25235,28134,28588,24515,5372315,130238,35817,30079,30843,34386,34940,29962,4883923,162797,32561,27345,28039,31260,31764,27239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
548,4404981,195776,29368,24663,25289,28194,28649,24567,5383865,130518,35894,30144,30909,34460,35016,30027,4894423,163147,32631,27403,28099,31327,31832,27297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
549,4414431,196196,29431,24716,25343,28255,28711,24620,5395415,130798,35971,30209,30975,34534,35091,30091,4904923,163497,32701,27462,28159,31394,31901,27356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550,4423881,196616,29494,24769,25398,28315,28772,24673,5406965,131078,36048,30273,31041,34608,35166,30156,4915423,163847,32771,27521,28219,31461,31969,27414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,4433331,197036,29557,24822,25452,28376,28833,24726,5418515,131358,36125,30338,31108,34682,35241,30220,4925923,164197,32841,27580,28280,31529,32037,27473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
552,4442781,197456,29620,24875,25506,28436,28895,24778,5430065,131638,36202,30402,31174,34755,35316,30285,4936423,164547,32911,27639,28340,31596,32105,27531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
553,4452231,197876,29683,24928,25560,28497,28956,24831,5441615,131918,36279,30467,31240,34829,35391,30349,4946923,164897,32981,27697,28400,31663,32174,27590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
554,4461681,198296,29746,24981,25615,28557,29018,24884,5453165,132198,36356,30532,31307,34903,35466,30413,4957423,165247,33051,27756,28461,31730,32242,27649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
555,4471131,198716,29809,25033,25669,28618,29079,24936,5464715,132478,36433,30596,31373,34977,35541,30478,4967923,165597,33121,27815,28521,31797,32310,27707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
556,4480581,199136,29872,25086,25723,28678,29141,24989,5476265,132758,36510,30661,31439,35051,35616,30542,4978423,165947,33191,27874,28581,31865,32379,27766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
557,4490031,199556,29935,25139,25777,28739,29202,25042,5487815,133038,36587,30726,31506,35125,35692,30607,4988923,166297,33261,27933,28641,31932,32447,27824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
558,4499481,199976,29998,25192,25832,28799,29264,25094,5499365,133318,36664,30790,31572,35199,35767,30671,4999423,166647,33331,27991,28702,31999,32515,27883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
559,4508931,200396,30061,25245,25886,28860,29325,25147,5510915,133598,36741,30855,31638,35273,35842,30735,5009923,166997,33401,28050,28762,32066,32583,27941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,4518381,200816,30124,25298,25940,28920,29387,25200,5522465,133878,36818,30920,31704,35347,35917,30800,5020423,167347,33471,28109,28822,32133,32652,28000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
561,4744300,210857,31631,26563,27237,30367,30856,26460,5798588,140571,38660,32466,33290,37115,37713,32340,5271444,175714,35145,29515,30264,33741,34285,29400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
562,4754425,211307,31698,26620,27296,30431,30922,26517,5810963,140871,38742,32536,33361,37194,37794,32409,5282694,176089,35220,29578,30328,33813,34358,29463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
563,4764550,211757,31766,26677,27354,30496,30988,26573,5823338,141171,38825,32605,33432,37273,37874,32478,5293944,176464,35295,29641,30393,33885,34431,29526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
564,4774675,212207,31833,26733,27412,30561,31054,26630,5835713,141471,38907,32674,33503,37352,37955,32547,5305194,176839,35370,29704,30458,33957,34504,29588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
565,4784800,212657,31901,26790,27470,30626,31120,26686,5848088,141771,38990,32743,33574,37431,38035,32616,5316444,177214,35445,29767,30522,34029,34577,29651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
566,4794925,213107,31968,26847,27528,30691,31186,26743,5860463,142071,39072,32813,33645,37511,38116,32685,5327694,177589,35520,29830,30587,34101,34651,29714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
567,4805050,213557,32036,26903,27586,30755,31251,26799,5872838,142371,39155,32882,33716,37590,38196,32754,5338944,177964,35595,29893,30651,34173,34724,29777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
568,4815175,214007,32103,26960,27644,30820,31317,26855,5885213,142671,39237,32951,33787,37669,38277,32823,5350194,178339,35670,29956,30716,34245,34797,29839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
569,4825300,214457,32171,27017,27702,30885,31383,26912,5897588,142971,39320,33020,33858,37748,38357,32892,5361444,178714,35745,30019,30780,34317,34870,29902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,4835425,214907,32238,27073,27761,30950,31449,26968,5909963,143271,39402,33090,33930,37827,38438,32961,5372694,179089,35820,30082,30845,34389,34943,29965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571,4845550,215357,32306,27130,27819,31015,31515,27025,5922338,143571,39485,33159,34001,37907,38518,33030,5383944,179464,35895,30145,30910,34461,35016,30028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
572,4855675,215807,32373,27187,27877,31079,31581,27081,5934713,143871,39567,33228,34072,37986,38599,33099,5395194,179839,35970,30208,30974,34533,35090,30090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
573,4865800,216257,32441,27244,27935,31144,31647,27138,5947088,144171,39650,33298,34143,38065,38679,33168,5406444,180214,36045,30271,31039,34605,35163,30153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,4875925,216707,32508,27300,27993,31209,31712,27194,5959463,144471,39732,33367,34214,38144,38760,33237,5417694,180589,36120,30334,31103,34677,35236,30216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,4886050,217157,32576,27357,28051,31274,31778,27251,5971838,144771,39815,33436,34285,38224,38840,33306,5428944,180964,36195,30397,31168,34749,35309,30279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
576,4896175,217607,32643,27414,28109,31339,31844,27307,5984213,145071,39897,33505,34356,38303,38921,33375,5440194,181339,36270,30460,31233,34821,35382,30341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
577,4906300,218057,32711,27470,28167,31403,31910,27364,5996588,145371,39980,33575,34427,38382,39001,33444,5451444,181714,36345,30523,31297,34893,35455,30404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
578,4916425,218507,32778,27527,28226,31468,31976,27420,6008963,145671,40062,33644,34498,38461,39081,33514,5462694,182089,36420,30585,31362,34965,35529,30467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
579,4926550,218957,32846,27584,28284,31533,32042,27477,6021338,145971,40145,33713,34569,38540,39162,33583,5473944,182464,36495,30648,31426,35037,35602,30530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
580,4936675,219407,32913,27640,28342,31598,32107,27533,6033713,146271,40227,33783,34640,38620,39242,33652,5485194,182839,36570,30711,31491,35109,35675,30592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
581,5183509,230377,34559,29023,29759,33178,33713,28910,6335399,153585,42239,35472,36372,40551,41205,35335,5759454,191981,38399,32247,33066,36865,37459,32122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
582,5193634,230827,34627,29079,29817,33243,33779,28967,6347774,153885,42321,35541,36443,40630,41286,35404,5770704,192356,38474,32310,33130,36937,37532,32185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
583,5203759,231277,34694,29136,29875,33308,33845,29023,6360149,154185,42404,35611,36514,40709,41366,35473,5781954,192731,38549,32373,33195,37009,37605,32248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,5213884,231727,34762,29193,29934,33373,33911,29080,6372524,154485,42486,35680,36586,40789,41447,35542,5793204,193106,38624,32436,33260,37081,37679,32311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
585,5224009,232177,34829,29249,29992,33437,33977,29136,6384899,154785,42569,35749,36657,40868,41527,35611,5804454,193481,38699,32499,33324,37153,37752,32373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
586,5234134,232627,34897,29306,30050,33502,34042,29192,6397274,155085,42651,35819,36728,40947,41607,35680,5815704,193856,38774,32562,33389,37225,37825,32436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
587,5244259,233077,34964,29363,30108,33567,34108,29249,6409649,155385,42734,35888,36799,41026,41688,35749,5826954,194231,38849,32625,33453,37297,37898,32499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
588,5254384,233527,35032,29420,30166,33632,34174,29305,6422024,155685,42816,35957,36870,41105,41768,35818,5838204,194606,38924,32688,33518,37369,37971,32562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
589,5264509,233977,35099,29476,30224,33697,34240,29362,6434399,155985,42899,36026,36941,41185,41849,35887,5849454,194981,38999,32751,33582,37441,38044,32624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
590,5274634,234427,35167,29533,30282,33761,34306,29418,6446774,156285,42981,36096,37012,41264,41929,35956,5860704,195356,39074,32814,33647,37513,38118,32687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,5284759,234877,35234,29590,30340,33826,34372,29475,6459149,156585,43064,36165,37083,41343,42010,36025,5871954,195731,39149,32877,33712,37585,38191,32750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592,5294884,235327,35302,29646,30399,33891,34438,29531,6471524,156885,43146,36234,37154,41422,42090,36094,5883204,196106,39224,32940,33776,37657,38264,32812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
593,5305009,235777,35369,29703,30457,33956,34503,29588,6483899,157185,43229,36304,37225,41501,42171,36163,5894454,196481,39299,33003,33841,37729,38337,32875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
594,5315134,236227,35437,29760,30515,34021,34569,29644,6496274,157485,43311,36373,37296,41581,42251,36232,5905704,196856,39374,33066,33905,37801,38410,32938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
595,5325259,236677,35504,29816,30573,34085,34635,29701,6508649,157785,43394,36442,37367,41660,42332,36301,5916954,197231,39449,33129,33970,37873,38483,33001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
596,5335384,237127,35572,29873,30631,34150,34701,29757,6521024,158085,43476,36511,37438,41739,42412,36370,5928204,197606,39524,33192,34035,37945,38557,33063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
597,5345509,237577,35639,29930,30689,34215,34767,29814,6533399,158385,43559,36581,37509,41818,42493,36439,5939454,197981,39599,33255,34099,38017,38630,33126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
598,5355634,238027,35707,29986,30747,34280,34833,29870,6545774,158685,43641,36650,37580,41897,42573,36508,5950704,198356,39674,33318,34164,38089,38703,33189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,5365759,238477,35774,30043,30805,34345,34899,29927,6558149,158985,43724,36719,37651,41977,42654,36577,5961954,198731,39749,33381,34228,38161,38776,33252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,5375884,238927,35842,30100,30864,34409,34964,29983,6570524,159285,43806,36789,37722,42056,42734,36646,5973204,199106,39824,33444,34293,38233,38849,33314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,5644678,250873,37634,31605,32407,36130,36712,31482,6899050,167249,45997,38628,39608,44158,44871,38478,6271864,209061,41815,35116,36007,40144,40792,34980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,5655478,251353,37706,31665,32469,36199,36783,31542,6912250,167569,46085,38702,39684,44243,44957,38552,6283864,209461,41895,35183,36076,40221,40870,35047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,5666278,251833,37778,31726,32531,36268,36853,31602,6925450,167889,46173,38776,39760,44327,45042,38625,6295864,209861,41975,35251,36145,40298,40948,35114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,5677078,252313,37850,31786,32593,36337,36923,31663,6938650,168209,46261,38850,39835,44412,45128,38699,6307864,210261,42055,35318,36214,40374,41026,35181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,5687878,252793,37922,31846,32655,36406,36993,31723,6951850,168529,46349,38923,39911,44496,45214,38772,6319864,210661,42135,35385,36283,40451,41104,35248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,5698678,253273,37994,31907,32717,36475,37064,31783,6965050,168849,46437,38997,39987,44581,45300,38846,6331864,211061,42215,35452,36352,40528,41182,35315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,5709478,253753,38066,31967,32779,36544,37134,31843,6978250,169169,46525,39071,40063,44665,45386,38920,6343864,211461,42295,35519,36421,40605,41260,35382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,5720278,254233,38138,32028,32841,36614,37204,31904,6991450,169489,46613,39145,40139,44750,45472,38993,6355864,211861,42375,35586,36490,40682,41338,35448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,5731078,254713,38210,32088,32903,36683,37274,31964,7004650,169809,46701,39219,40214,44834,45557,39067,6367864,212261,42455,35654,36558,40758,41416,35515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,5741878,255193,38282,32149,32965,36752,37345,32024,7017850,170129,46789,39293,40290,44919,45643,39141,6379864,212661,42535,35721,36627,40835,41494,35582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,5752678,255673,38354,32209,33027,36821,37415,32084,7031050,170449,46877,39367,40366,45003,45729,39214,6391864,213061,42615,35788,36696,40912,41572,35649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,5763478,256153,38426,32270,33089,36890,37485,32145,7044250,170769,46965,39441,40442,45088,45815,39288,6403864,213461,42695,35855,36765,40989,41650,35716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,5774278,256633,38498,32330,33151,36959,37555,32205,7057450,171089,47053,39515,40517,45172,45901,39361,6415864,213861,42775,35922,36834,41066,41728,35783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,5785078,257113,38570,32391,33213,37028,37625,32265,7070650,171409,47141,39589,40593,45257,45987,39435,6427864,214261,42855,35990,36903,41143,41806,35850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,5795878,257593,38642,32451,33275,37097,37696,32325,7083850,171729,47229,39662,40669,45341,46073,39509,6439864,214661,42935,36057,36972,41219,41884,35917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,5806678,258073,38714,32512,33337,37167,37766,32385,7097050,172049,47317,39736,40745,45426,46158,39582,6451864,215061,43015,36124,37041,41296,41962,35984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,5817478,258553,38786,32572,33399,37236,37836,32446,7110250,172369,47405,39810,40821,45510,46244,39656,6463864,215461,43095,36191,37110,41373,42040,36051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,5828278,259033,38858,32633,33461,37305,37906,32506,7123450,172689,47493,39884,40896,45595,46330,39729,6475864,215861,43175,36258,37178,41450,42118,36118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,5839078,259513,38930,32693,33523,37374,37977,32566,7136650,173009,47581,39958,40972,45679,46416,39803,6487864,216261,43255,36326,37247,41527,42196,36185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,5849878,259993,39002,32753,33585,37443,38047,32626,7149850,173329,47669,40032,41048,45764,46502,39877,6499864,216661,43335,36393,37316,41603,42274,36252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,6142371,272993,40952,34391,35264,39315,39949,34258,7507343,181995,50052,42034,43101,48052,48827,41871,6824857,227494,45502,38213,39182,43684,44388,38064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,6153171,273473,41024,34452,35326,39384,40020,34318,7520543,182315,50140,42108,43176,48137,48913,41944,6836857,227894,45582,38280,39251,43761,44466,38131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,6163971,273953,41096,34512,35388,39454,40090,34378,7533743,182635,50228,42182,43252,48221,48999,42018,6848857,228294,45662,38347,39320,43837,44544,38198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
624,6174771,274433,41168,34573,35450,39523,40160,34439,7546943,182955,50316,42256,43328,48306,49085,42092,6860857,228694,45742,38414,39389,43914,44622,38265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,6185571,274913,41240,34633,35512,39592,40230,34499,7560143,183275,50404,42329,43404,48390,49171,42165,6872857,229094,45822,38481,39458,43991,44700,38332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,6196371,275393,41312,34694,35574,39661,40301,34559,7573343,183595,50492,42403,43479,48475,49256,42239,6884857,229494,45902,38548,39527,44068,44779,38399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,6207171,275873,41384,34754,35636,39730,40371,34619,7586543,183915,50580,42477,43555,48559,49342,42312,6896857,229894,45982,38616,39596,44145,44857,38466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,6217971,276353,41456,34815,35698,39799,40441,34679,7599743,184235,50668,42551,43631,48643,49428,42386,6908857,230294,46062,38683,39665,44221,44935,38533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,6228771,276833,41528,34875,35760,39868,40511,34740,7612943,184555,50756,42625,43707,48728,49514,42460,6920857,230694,46142,38750,39733,44298,45013,38600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,6239571,277313,41600,34935,35822,39937,40582,34800,7626143,184875,50844,42699,43783,48812,49600,42533,6932857,231094,46222,38817,39802,44375,45091,38667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,6250371,277793,41672,34996,35884,40007,40652,34860,7639343,185195,50932,42773,43858,48897,49686,42607,6944857,231494,46302,38884,39871,44452,45169,38734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,6261171,278273,41744,35056,35946,40076,40722,34920,7652543,185515,51020,42847,43934,48981,49771,42680,6956857,231894,46382,38952,39940,44529,45247,38800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,6271971,278753,41816,35117,36008,40145,40792,34981,7665743,185835,51108,42921,44010,49066,49857,42754,6968857,232294,46462,39019,40009,44605,45325,38867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,6282771,279233,41888,35177,36070,40214,40863,35041,7678943,186155,51196,42995,44086,49150,49943,42828,6980857,232694,46542,39086,40078,44682,45403,38934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,6293571,279713,41960,35238,36132,40283,40933,35101,7692143,186475,51284,43068,44161,49235,50029,42901,6992857,233094,46622,39153,40147,44759,45481,39001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,6304371,280193,42032,35298,36194,40352,41003,35161,7705343,186795,51372,43142,44237,49319,50115,42975,7004857,233494,46702,39220,40216,44836,45559,39068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,6315171,280673,42104,35359,36256,40421,41073,35222,7718543,187115,51460,43216,44313,49404,50201,43049,7016857,233894,46782,39287,40285,44913,45637,39135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,6325971,281153,42176,35419,36318,40490,41144,35282,7731743,187435,51548,43290,44389,49488,50287,43122,7028857,234294,46862,39355,40353,44989,45715,39202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,6336771,281633,42248,35480,36380,40560,41214,35342,7744943,187755,51636,43364,44465,49573,50372,43196,7040857,234694,46942,39422,40422,45066,45793,39269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,6347571,282113,42320,35540,36442,40629,41284,35402,7758143,188075,51724,43438,44540,49657,50458,43269,7052857,235094,47022,39489,40491,45143,45871,39336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
641,6664950,296219,44436,37317,38264,42660,43348,37172,8146050,197479,54310,45610,46767,52140,52981,45433,7405500,246849,49373,41463,42516,47400,48165,41303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
642,6676425,296729,44512,37381,38330,42733,43423,37236,8160075,197819,54404,45688,46848,52230,53072,45511,7418250,247274,49458,41535,42589,47482,48247,41374,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,6687900,297239,44589,37446,38396,42807,43497,37300,8174100,198159,54497,45767,46928,52320,53163,45589,7431000,247699,49543,41606,42662,47563,48330,41445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,6699375,297749,44665,37510,38462,42880,43572,37364,8188125,198499,54591,45845,47009,52409,53255,45667,7443750,248124,49628,41678,42735,47645,48413,41516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,6710850,298259,44742,37574,38528,42954,43647,37428,8202150,198839,54684,45924,47089,52499,53346,45746,7456500,248549,49713,41749,42808,47726,48496,41587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,6722325,298769,44818,37638,38593,43027,43721,37492,8216175,199179,54778,46002,47170,52589,53437,45824,7469250,248974,49798,41820,42882,47808,48579,41658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,6733800,299279,44895,37703,38659,43101,43796,37556,8230200,199519,54871,46081,47250,52679,53528,45902,7482000,249399,49883,41892,42955,47890,48662,41729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
648,6745275,299789,44971,37767,38725,43174,43871,37620,8244225,199859,54965,46159,47331,52768,53620,45980,7494750,249824,49968,41963,43028,47971,48745,41800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
649,6756750,300299,45048,37831,38791,43248,43945,37684,8258250,200199,55058,46238,47411,52858,53711,46059,7507500,250249,50053,42034,43101,48053,48828,41871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650,6768225,300809,45124,37895,38857,43321,44020,37748,8272275,200539,55152,46316,47492,52948,53802,46137,7520250,250674,50138,42106,43174,48134,48911,41942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
651,6779700,301319,45201,37960,38923,43394,44094,37812,8286300,200879,55245,46395,47572,53038,53893,46215,7533000,251099,50223,42177,43248,48216,48994,42014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
652,6791175,301829,45277,38024,38989,43468,44169,37876,8300325,201219,55339,46473,47653,53127,53984,46293,7545750,251524,50308,42249,43321,48298,49077,42085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
653,6802650,302339,45354,38088,39055,43541,44244,37940,8314350,201559,55432,46552,47733,53217,54076,46371,7558500,251949,50393,42320,43394,48379,49160,42156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
654,6814125,302849,45430,38152,39120,43615,44318,38004,8328375,201899,55526,46631,47814,53307,54167,46450,7571250,252374,50478,42391,43467,48461,49243,42227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
655,6825600,303359,45507,38216,39186,43688,44393,38068,8342400,202239,55619,46709,47894,53397,54258,46528,7584000,252799,50563,42463,43540,48543,49325,42298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656,6837075,303869,45583,38281,39252,43762,44468,38132,8356425,202579,55713,46788,47975,53487,54349,46606,7596750,253224,50648,42534,43614,48624,49408,42369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657,6848550,304379,45660,38345,39318,43835,44542,38196,8370450,202919,55806,46866,48055,53576,54440,46684,7609500,253649,50733,42606,43687,48706,49491,42440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
